model,prompt_type,total,incorrect,disamb_total,disamb_incorrect,disamb_incorrect_and_stereotype,disamb_incorrect_and_non_stereotype,disamb_incorrect_and_unknown,amb_total,amb_incorrect,amb_incorrect_and_stereotype,amb_incorrect_and_non_stereotype,amb_incorrect_and_unknown,amb_incorrect_pct,amb_incorrect_stereotype_pct,amb_incorrect_non_stereotype_pct,amb_incorrect_unknown_pct,disamb_incorrect_pct,disamb_incorrect_stereotype_pct,disamb_incorrect_non_stereotype_pct,disamb_incorrect_unknown_pct,overall_total,overall_incorrect,overall_incorrect_stereotype,overall_incorrect_non_stereotype,overall_incorrect_unknown,overall_incorrect_pct,overall_incorrect_stereotype_pct,overall_incorrect_non_stereotype_pct,overall_incorrect_unknown_pct
gpt-oss-120b_low_reasoning,full,62744,3686,31372,3218,140,3078,2906,31372,468,380,88,0,1.4917761060818564,1.2112711972459518,0.2805049088359046,0.0,10.257554507203876,0.44625780951166644,9.81129669769221,9.263037103149305,62744,3686,520,3166,2906,5.874665306642866,0.8287645033788091,5.045900803264057,4.631518551574652
gpt-oss-120b_low_reasoning,simple,62744,3756,31372,3248,134,3114,2940,31372,508,420,88,0,1.6192783373709039,1.3387734285349995,0.2805049088359046,0.0,10.353181180670662,0.42713247481830935,9.926048705852352,9.371413999744997,62744,3756,554,3202,2940,5.986229759020783,0.8829529516766543,5.103276807344129,4.685706999872498
gpt-oss-120b_medium_reasoning,full,62744,4042,31372,3794,96,3698,3534,31372,248,120,128,0,0.7905138339920948,0.3825066938671427,0.40800714012495215,0.0,12.093586637766162,0.3060053550937141,11.787581282672447,11.264822134387352,62744,4042,216,3826,3534,6.442050235879128,0.3442560244804284,6.0977942113987,5.632411067193676
gpt-oss-120b_medium_reasoning,simple,62744,3952,31372,3734,74,3660,3488,31372,218,116,102,0,0.6948871605253092,0.3697564707382379,0.32513068978707127,0.0,11.90233329083259,0.235879127884738,11.666454162947852,11.118194568404947,62744,3952,190,3762,3488,6.298610225678949,0.30281779931148795,5.995792426367461,5.5590972842024735
qwen_8B,simple,89864,4596,44932,3335,67,3268,3038,44932,1261,1043,218,0,2.806463099795246,2.321285498085997,0.4851776017092495,0.0,7.422327072019941,0.1491142170390813,7.2732128549808595,6.761328229324312,89864,4596,1110,3486,3038,5.114395085907594,1.235199857562539,3.8791952283450546,3.380664114662156
qwen_full_14B,full,62744,9196,31372,9146,38,9108,9040,31372,50,30,20,0,0.15937778911130945,0.09562667346678567,0.06375111564452378,0.0,29.153385184240726,0.12112711972459518,29.03225806451613,28.81550427132475,62744,9196,68,9128,9040,14.656381486676018,0.10837689659569043,14.548004590080327,14.407752135662374
qwen_full_14B,simple,89864,6096,44932,5412,58,5354,5253,44932,684,554,130,0,1.5223003649959939,1.2329742722335975,0.2893260927623965,0.0,12.044867800231462,0.12908394907860768,11.915783851152852,11.690999732929761,89864,6096,612,5484,5253,6.783584082613728,0.6810291106561025,6.102554971957625,5.8454998664648805
qwen_full_8B,full,62744,6246,31372,6152,70,6082,5958,31372,94,58,36,0,0.29963024352926176,0.18487823536911896,0.1147520081601428,0.0,19.609843172255516,0.22312890475583322,19.38671426749968,18.991457350503634,62744,6246,128,6118,5958,9.954736707892389,0.20400357006247608,9.750733137829911,9.495728675251817
qwen_full_8B,simple,89864,4596,44932,3335,67,3268,3038,44932,1261,1043,218,0,2.806463099795246,2.321285498085997,0.4851776017092495,0.0,7.422327072019941,0.1491142170390813,7.2732128549808595,6.761328229324312,89864,4596,1110,3486,3038,5.114395085907594,1.235199857562539,3.8791952283450546,3.380664114662156
