category,total,incorrect,disamb_total,disamb_incorrect,disamb_incorrect_and_stereotype,disamb_incorrect_and_non_stereotype,disamb_incorrect_and_unknown,amb_total,amb_incorrect,amb_incorrect_and_stereotype,amb_incorrect_and_non_stereotype,amb_incorrect_and_unknown,amb_incorrect_pct,amb_incorrect_stereotype_pct,amb_incorrect_non_stereotype_pct,amb_incorrect_unknown_pct,disamb_incorrect_pct,disamb_incorrect_stereotype_pct,disamb_incorrect_non_stereotype_pct,disamb_incorrect_unknown_pct,overall_total,overall_incorrect,overall_incorrect_stereotype,overall_incorrect_non_stereotype,overall_incorrect_unknown,overall_incorrect_pct,overall_incorrect_stereotype_pct,overall_incorrect_non_stereotype_pct,overall_incorrect_unknown_pct
Age,33120,2510,16560,1520,103,1417,1265,16560,990,932,58,0,5.978260869565218,5.628019323671498,0.3502415458937198,0.0,9.178743961352657,0.6219806763285024,8.556763285024156,7.638888888888889,33120,2510,1035,1475,1265,7.578502415458938,3.125,4.453502415458937,3.8194444444444446
Disability_status,14004,667,7002,548,6,542,533,7002,119,95,24,0,1.6995144244501572,1.3567552127963438,0.34275921165381323,0.0,7.826335332762067,0.08568980291345331,7.740645529848615,7.612110825478435,14004,667,101,566,533,4.762924878606112,0.7212225078548986,4.0417023707512145,3.8060554127392177
Gender_identity,51048,3833,25524,3792,2,3790,3763,25524,41,11,30,0,0.16063312960351042,0.04309669330825889,0.11753643629525151,0.0,14.856605547719791,0.007835762419683435,14.848769785300108,14.742986992634382,51048,3833,13,3820,3763,7.508619338661651,0.025466227863971163,7.48315311079768,7.371493496317191
Nationality,27720,1837,13860,1561,0,1561,1556,13860,276,82,194,0,1.9913419913419914,0.5916305916305917,1.3997113997113997,0.0,11.262626262626263,0.0,11.262626262626263,11.226551226551226,27720,1837,82,1755,1556,6.626984126984127,0.29581529581529586,6.331168831168831,5.613275613275613
OVERALL,363708,24473,181854,21965,374,21591,20810,181854,2508,1965,543,0,1.3791283117225905,1.0805371341845658,0.298591177538025,0.0,12.078370560999483,0.20565948508143894,11.872711075918044,11.443245680600922,363708,24473,2339,22134,20810,6.728749436361037,0.6430983096330023,6.085651126728035,5.721622840300461
Physical_appearance,14184,2047,7092,1916,155,1761,1433,7092,131,108,23,0,1.847151720248167,1.5228426395939088,0.32430908065425834,0.0,27.016356457980823,2.18556119571348,24.830795262267344,20.2058657642414,14184,2047,263,1784,1433,14.431754089114495,1.8542019176536946,12.577552171460802,10.1029328821207
Race_ethnicity,61920,2685,30960,2584,23,2561,2513,30960,101,46,55,0,0.32622739018087854,0.14857881136950904,0.1776485788113695,0.0,8.34625322997416,0.07428940568475452,8.271963824289404,8.116925064599483,61920,2685,69,2616,2513,4.336240310077519,0.11143410852713179,4.224806201550388,4.058462532299742
Religion,10800,1389,5400,1105,76,1029,974,5400,284,252,32,0,5.2592592592592595,4.666666666666667,0.5925925925925926,0.0,20.462962962962962,1.4074074074074074,19.055555555555557,18.037037037037038,10800,1389,328,1061,974,12.861111111111112,3.037037037037037,9.824074074074074,9.018518518518519
SES,61776,5981,30888,5672,3,5669,5644,30888,309,252,57,0,1.0003885003885005,0.8158508158508158,0.18453768453768454,0.0,18.363118363118364,0.009712509712509712,18.353405853405853,18.272468272468274,61776,5981,255,5726,5644,9.681753431753432,0.4127816627816628,9.268971768971769,9.136234136234137
Sexual_orientation,7776,744,3888,711,2,709,704,3888,33,21,12,0,0.8487654320987654,0.5401234567901234,0.30864197530864196,0.0,18.287037037037038,0.051440329218107,18.235596707818928,18.106995884773664,7776,744,23,721,704,9.5679012345679,0.2957818930041152,9.272119341563787,9.053497942386832
