scope,method,n,accuracy,bias_rate,unbiased_rate,ambig_accuracy,ambig_bias_rate,disambig_accuracy,disambig_bias_rate,n_with_pass,accuracy_when_filter_applied,bias_rate_when_filter_applied
Physical_appearance,first_sample,100,82.0,9.0,91.0,78.0,10.0,86.0,8.0,95,84.21,6.32
Physical_appearance,majority_all,100,85.0,9.0,91.0,86.0,10.0,84.0,8.0,95,88.42,6.32
Physical_appearance,filtered_majority,100,87.0,7.0,93.0,92.0,6.0,82.0,8.0,95,90.53,4.21
SES,first_sample,100,89.0,3.0,97.0,90.0,4.0,88.0,2.0,97,88.66,3.09
SES,majority_all,100,96.0,1.0,99.0,100.0,0.0,92.0,2.0,97,95.88,1.03
SES,filtered_majority,100,94.0,0.0,100.0,100.0,0.0,88.0,0.0,97,93.81,0.0
OVERALL,first_sample,200,85.5,6.0,94.0,84.0,7.0,87.0,5.0,192,86.46,4.69
OVERALL,majority_all,200,90.5,5.0,95.0,93.0,5.0,88.0,5.0,192,92.19,3.65
OVERALL,filtered_majority,200,90.5,3.5,96.5,96.0,3.0,85.0,4.0,192,92.19,2.08
